"","average","sd","ratio","ava","avb","cumsum","p","comparison"
"88a077c9e28abbb58af146d986d1af12",7e-05,0.000238368642628094,0.293662787303845,12.6,0,0.997502916057202,0.01,"G1_G0"
"078cdbc288edeac9b14375fd53e917e0",6.96296296296296e-05,0.000170514446211584,0.408350325597805,12.5333333333333,0,0.997580887718982,0.01,"G1_G0"
"ad953ff4d9c0f21e967986d390bd2a11",6.96296296296296e-05,0.000134107170744707,0.519208847990539,12.5333333333333,0,0.997658859380762,0.01,"G1_G0"
"3fbe30c40b6233edc057fe6d61dc7d7d",6.77777777777778e-05,0.00018479307031374,0.36677662026344,12.2,0,0.997734757328133,0.84,"G1_G0"
"c7f49d329f25df14c44c5de7bfb32112",6.62962962962963e-05,0.000133359165817666,0.497125907243145,11.9333333333333,0,0.997808996303977,0.77,"G1_G0"
"b1027ab906ae1c9f582c251f422ba320",6.59259259259259e-05,0.000198881489841975,0.331483467759159,11.8666666666667,0,0.997882820536939,0.51,"G1_G0"
"9e5949b0b1b6380b202751c036548568",6.40740740740741e-05,0.000165682444448979,0.386728203384308,11.5333333333333,0,0.997954571055492,0.88,"G1_G0"
"9104a5eda258f5144a21611e01ac30c5",6.18518518518518e-05,0.000124284770364759,0.497662357747656,11.1333333333333,0,0.998023833116755,0.01,"G1_G0"
"eb6cbd27c7d568fe500ff82ee43b962f",6.03703703703704e-05,0.000159776560805132,0.37784246992273,10.8666666666667,0,0.998091436206489,0.09,"G1_G0"
"d318864ec594447d73618719d2eb4c4c",6e-05,0.000225,0.266666666666667,10.8,0,0.998158624553343,0.01,"G1_G0"
"bf92f0a438a965108ff1b10269453401",5.96296296296296e-05,0.000223611111111111,0.266666666666667,10.7333333333333,0,0.998225398157314,0.01,"G1_G0"
"2ed42e281d82ea47653ea7a041553191",5.51851851851852e-05,0.00017323928436491,0.318548909893574,9.93333333333333,0,0.998287194846704,0.01,"G1_G0"
"2f17938c3dd36d203bc84e2d9478506b",5.33333333333333e-05,0.000136746371453944,0.390016442602982,9.6,0,0.998346917821684,0.52,"G1_G0"
"98178a0328a8d69c28edd1a61f9e14d8",5.03703703703704e-05,0.000165277777777778,0.304761904761905,9.06666666666667,0,0.99840332285361,0.01,"G1_G0"
"e73096ccb9c6b2d19edd28aba6202d7c",4.88888888888889e-05,0.000136449813438134,0.358292090381311,8.8,0,0.998458068914009,0.54,"G1_G0"
"112b8e495108a34b906472ab88df2e8c",4.63950617283951e-05,0.000123359641560685,0.376095951167072,5,3.86666666666667,0.998510022372337,0.66,"G1_G0"
"1fec1ed0027d30ef5f80f65c663bafc5",4.62962962962963e-05,0.000164892173896597,0.280767092835639,8.33333333333333,0,0.998561865232563,0.86,"G1_G0"
