"taxon","anbc_lfc_oat_G2","anbc_padj_oat_G2","anbc_lfc_oat_G3","anbc_padj_oat_G3","anbc_lfc_wheat_G2","anbc_padj_wheat_G2","anbc_lfc_wheat_G3","anbc_padj_wheat_G3","OrderName"
"61c080a2b30136df6c80642b1926c78e",NA,1,NA,NA,NA,NA,NA,NA,"SZUA-149"
"f678158684fc17d8c7b44b7e124491e5",NA,1,NA,NA,NA,NA,NA,NA,"UBA796"
"7f9ee874b3f3cfa66c521ee9b16a71e0",0.00625528654965898,1,NA,NA,NA,1,NA,NA,"Desulfomonilales"
"fa5a3856d765788bbb43e6c6e8f7ee9d",NA,1,NA,NA,NA,NA,NA,NA,"UBA4151"
"707719bd2799b834ba0e74112fa489a0",NA,1,NA,NA,NA,1,NA,NA,"Myxococcales"
"cd96dc701c49df0b227c915d9ce9bc75",-0.656387550095921,1,NA,NA,NA,NA,NA,1,"Polyangiales"
"30688358cee6df00f97a09297ddf5434",NA,1,NA,NA,NA,1,NA,1,"Micropepsales"
"fdb513a85a39fafe95360eec69cadc50",NA,1,1.36984051415308,1,NA,1,-0.398042969237153,1,"Rhodobacterales"
"202584e0410e749e15eaa0b3dc36620f",NA,1,NA,NA,NA,NA,NA,NA,"Rhizobiales_A"
"3206015154602ad2f550885ff96e466e",NA,1,NA,NA,NA,1,NA,NA,"Rhizobiales_A"
"e26286d6540544a2832f60dfdf859586",NA,1,NA,1,0.223244050980577,1,NA,1,"Rhizobiales_A"
"58c0a8cf76f6b0cb40a42ccf770f67b0",-0.362312620617357,1,-1.21752883204791,1,1.52108246471717,1,-1.9061531007296,1,"Sphingomonadales"
"f7228aa155bf10d455d8e02ad5f5980c",-0.418648666239754,1,NA,1,NA,1,NA,1,"Caulobacterales"
"0aa415e2ba6a661bead2121028d9370a",-2.35041206075205,1,-1.30840386712287,1,5.18021125904353,0.648543966393667,0.210550771272263,1,"Rhizobiales_A"
"fd4b547fa11d2644e71220f8141dbed2",NA,1,NA,1,NA,1,NA,1,"Unclassified Alphaproteobacteria"
"3b09c48d62fb18cfddc9cf9353cc5c0d",-0.135667714336262,1,-0.510226619983353,1,-0.0512442691848039,1,NA,1,"Acetobacterales"
